"Dolphin.ID","Sex","Birth.Date","Death.Date"
"AAR","UNKNOWN",2003-11-01,NA
"ABA","FEMALE",2010-11-01,NA
"ABC","MALE",1994-11-01,NA
"ABE","UNKNOWN",1991-11-01,1994-06-19
"ACF","UNKNOWN",1997-11-01,NA
"ACK","MALE",1980-11-01,1999-05-01
"ADC","UNKNOWN",2001-06-01,2002-03-04
"ADR","FEMALE",1988-11-01,NA
"AGA","MALE",1997-09-15,NA
"AHA","MALE",1980-11-01,1994-05-01
"AJA","MALE",1980-11-01,NA
"ALB","MALE",2015-10-15,NA
"ALG","FEMALE",1969-11-01,2004-05-01
"ALI","FEMALE",1982-11-01,2011-05-01
"ALO","FEMALE",2001-11-01,NA
"ALT","FEMALE",1988-11-01,NA
"ALU","MALE",2015-11-01,NA
"ALV","FEMALE",1981-11-01,2004-05-01
"AMA","FEMALE",1984-11-01,2009-05-01
"AME","FEMALE",1991-11-01,NA
"AMO","FEMALE",1996-11-01,2016-05-01
"AMP","FEMALE",1986-11-01,NA
"ANE","FEMALE",2009-11-01,NA
"ANK","UNKNOWN",2000-11-23,2001-01-11
"ANT","MALE",1973-11-01,2014-05-01
"ANV","MALE",1976-11-01,NA
"ANW","MALE",1992-11-01,NA
"AOV","UNKNOWN",2014-11-01,2016-01-11
"APO","MALE",2003-11-01,NA
"APS","MALE",1998-11-01,NA
"APX","MALE",1985-11-01,2015-05-01
"AQU","UNKNOWN",2003-11-15,NA
"ARC","MALE",1981-11-01,1999-05-01
"ARG","MALE",1977-11-01,2008-05-01
"ARI","FEMALE",1991-11-01,NA
"ARN","MALE",1988-11-01,NA
"ARP","MALE",1982-11-01,NA
"ART","MALE",1999-11-01,NA
"ASD","MALE",2005-11-01,NA
"ASH","MALE",1980-11-01,2017-05-01
"ASN","FEMALE",2004-01-01,NA
"AST","MALE",1977-11-01,1993-05-01
"ASY","MALE",2013-01-01,NA
"ATC","FEMALE",1991-11-01,NA
"ATH","FEMALE",1985-11-01,NA
"ATI","MALE",1978-11-01,2011-05-01
"ATL","UNKNOWN",2009-10-21,2010-03-17
"ATW","FEMALE",1988-11-01,NA
"AUR","UNKNOWN",2002-11-01,NA
"AZU","MALE",2012-11-01,NA
"BAC","UNKNOWN",1993-11-01,NA
"BAD","FEMALE",1982-11-01,NA
"BAG","MALE",1996-11-01,NA
"BAI","MALE",2010-10-27,NA
"BAK","MALE",1989-11-01,NA
"BAM","MALE",1967-11-01,2008-05-01
"BAN","FEMALE",1976-11-01,2012-05-01
"BAR","MALE",1972-11-01,2014-05-01
"BAS","MALE",1998-11-01,2006-05-01
"BAY","FEMALE",1985-11-01,2007-05-01
"BBA","UNKNOWN",2004-12-01,2007-10-01
"BBF","MALE",1991-11-01,NA
"BBL","UNKNOWN",2003-11-01,NA
"BBN","MALE",2012-11-01,NA
"BBZ","UNKNOWN",2016-11-01,NA
"BCH","MALE",1982-11-01,2013-05-01
"BCO","UNKNOWN",2003-11-01,2012-05-01
"BCP","UNKNOWN",1978-11-01,NA
"BCT","MALE",2009-11-01,NA
"BDC","MALE",1985-11-01,NA
