"SSSS.ID","Dolphin.ID","Shark.Bite.Date"
10053,"BLB",2013-02-10
10196,"PIM",2013-02-16
10234,"ARI",2013-03-04
10255,"TYP",2013-01-15
10503,"KIY",2013-06-27
10585,"SKT",2013-07-11
10732,"TUL",2013-08-15
10831,"RSO",2013-05-23
10834,"PIK",2013-07-24
10851,"MYR",2013-07-24
1093,"BOO",1991-01-01
10995,"KRO",2011-07-01
11014,"SVD",2013-03-30
11024,"ATC",2013-04-08
11064,"BLE",2007-02-16
11065,"MIG",2013-08-28
11316,"DJY",2013-08-20
11329,"CYS",2013-08-09
11356,"BSS",2012-11-26
11357,"MGC",2012-12-03
11403,"VLT",2013-08-14
11426,"TAW",2013-09-18
11435,"NIR",2013-08-06
11496,"RGO",2013-01-17
11550,"NOE",2013-08-25
11576,"TOQ",2013-09-14
11604,"BAD",2013-05-19
11737,"OLI",2013-08-17
11745,"CEB",2013-02-02
11766,"ZMB",2013-03-26
11782,"LIT",2013-08-09
11867,"NOE",2013-10-23
12095,"PIM",2013-09-09
12184,"BLB",2013-09-20
12256,"RSH",2013-09-22
12258,"RKL",2013-09-17
1229,"ZAG",1991-09-07
12292,"CCU",2013-09-17
12313,"KOA",2013-10-16
1246,"YAN",1991-09-04
12462,"OLI",2003-02-01
12500,"ABA",2013-04-17
12591,"PGA",2013-10-06
12655,"MGC",2013-10-28
12675,"RBD",2013-10-08
12695,"RSP",2013-11-15
12713,"AMP",2013-11-15
12775,"RKS",2013-10-20
12833,"PGA",2013-10-09
12878,"SLT",2013-09-06
12891,"MCA",2013-11-28
1290,"HOL",1992-03-25
1291,"NOV",1991-12-29
12913,"BOR",2013-11-28
12969,"BSS",2013-12-08
12970,"DIA",2013-12-04
12972,"SUR",2013-12-20
12979,"COO",2014-04-19
13005,"FAU",2014-05-08
13068,"POO",2014-01-13
13079,"RIC",2014-03-04
13082,"KIT",2014-03-08
13145,"JAK",2014-03-06
13173,"JMC",2014-03-16
13200,"PIK",2010-02-05
1324,"SMO",1992-01-21
13301,"TSE",2013-12-25
13418,"DIA",2014-08-08
13424,"EED",2002-11-26
13428,"QUA",2014-08-10
13437,"CLE",2012-04-21
13445,"STA",2010-03-25
13446,"MOZ",2014-04-11
13465,"SHC",2006-03-08
13482,"RAG",2012-05-18
13488,"TTM",2011-03-18
13493,"JUI",2014-07-09
13495,"RKT",2014-09-20
13530,"TAW",2014-04-04
13532,"ORB",2014-04-22
13573,"PDR",2014-04-06
13575,"ATW",2013-08-27
13629,"HBB",2014-10-04
13638,"GMP",2014-10-07
13734,"TRY",2013-08-11
13737,"CLV",2014-04-28
13741,"REA",2014-05-03
13748,"MUT",2014-05-05
13785,"COI",2013-01-30
13824,"EDG",2006-01-31
13868,"DOM",2006-03-28
13880,"MOU",2012-10-23
13902,"RGO",2014-05-18
13916,"OWL",2014-03-28
13924,"CCO",2014-10-09
13941,"JUI",2014-10-17
13977,"ATW",2014-10-22
14020,"POG",2014-11-03
14051,"OPE",2014-09-12
14058,"ATW",2014-11-19
14071,"SUR",2014-11-30
1409,"RAB",1992-11-11
14097,"JUI",2014-12-02
14098,"NOE",2014-09-12
14105,"FHY",2014-11-18
14108,"STT",2014-11-19
14109,"STT",2014-11-20
14110,"ATW",2014-12-06
14174,"SHC",2014-11-23
14179,"ORB",2014-11-11
14180,"STT",2014-11-23
14183,"SUR",2014-12-27
14185,"PDT",2014-12-06
14191,"SON",2015-01-05
14193,"TSE",2014-11-17
14207,"DEU",2015-01-16
14224,"OWL",2015-01-02
14225,"ANW",2015-02-25
14284,"PDT",2015-01-05
14285,"AJA",2015-03-03
14286,"DCH",2015-01-26
14288,"JUI",2015-05-11
14316,"VIX",2014-12-09
14329,"KRK",2014-12-08
14356,"ZIP",2015-01-24
14359,"PEG",2015-01-25
14468,"PEG",2015-01-27
14483,"POG",2015-02-25
14496,"SCH",2013-01-29
14502,"RSO",2015-02-24
14505,"ANE",2015-06-07
14557,"PDT",2015-05-23
14564,"ZIP",2015-01-31
14571,"ZIP",2015-02-12
14585,"DNG",2015-01-19
14587,"LIC",2014-12-22
14597,"URC",2014-12-20
14602,"QUA",2015-01-27
14608,"BHM",2014-12-22
14616,"RIP",2015-05-20
14617,"MIG",2014-01-03
14619,"PIM",2015-04-14
14651,"OSI",2013-01-11
14688,"INI",2015-05-16
14729,"COK",2011-11-03
14743,"KIY",2015-05-18
14788,"SON",2015-02-08
14789,"STT",2015-03-28
14842,"PAB",2014-01-10
14845,"JUM",2015-03-27
14876,"BAG",2015-02-20
14933,"WZY",2015-06-09
14959,"BAD",2015-04-08
14961,"TAW",2015-02-21
14983,"DEE",2015-02-08
15235,"FID",1994-04-15
15302,"OLI",2015-07-22
15342,"MED",2015-08-27
15409,"AMP",2015-10-19
15411,"SOG",2015-09-28
15414,"KIY",2015-10-30
15421,"SON",2015-09-11
1543,"BIS",1993-11-18
15440,"BYT",2015-08-12
15456,"RID",2015-08-03
15457,"FRE",2016-04-10
15460,"BRA",2015-12-13
15468,"BNG",2016-04-25
15480,"EED",2016-01-09
15484,"DCH",2016-02-17
1550,"SMO",1994-04-14
15516,"BBN",2016-01-19
15517,"BBN",2016-05-23
15526,"RHY",2016-01-12
15553,"BNG",2016-06-20
15581,"MRS",2016-05-26
15586,"SEV",2003-04-06
15588,"WHO",2016-02-08
15589,"FRE",2016-02-01
15593,"INI",2016-06-18
15607,"RIP",2015-12-17
15665,"CEB",2016-06-23
15666,"BLI",2014-12-31
15667,"CEY",2016-07-04
